departamento,Total casos
Bogotá D.C.,179540
Antioquia,67033
Valle del Cauca,38908
Barranquilla D.E.,35127
Atlántico,27144
Cartagena D.T. y C.,18631
Cundinamarca,18127
Córdoba,16351
Nariño,12091
Santander,11855
Sucre,9827
Norte de Santander,8103
Santa Marta D.T. y C.,7462
Cesar,6968
Meta,6260
Tolima,5229
Caquetá,4428
Risaralda,4098
La Guajira,4006
Bolívar,3984
Cauca,3703
Chocó,3571
Magdalena,3353
Huila,3148
Amazonas,2677
Boyacá,2627
Buenaventura D.E.,2351
Putumayo,2282
Caldas,2024
Casanare,780
Quindío,756
Arauca,747
Guaviare,205
Vaupés,165
Archipiélago de San Andrés y Providencia,115
Guainía,28
Vichada,15
